prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Imam Bonjol Padang - Ekonomi Syariah
UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam
UIN Sunan Gunung Djati Bandung  - Tasawuf Psikoterapi,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sunan Gunung Djati Bandung  - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sunan Ampel Surabaya  - Hukum Tata Negara (Siyasah),UIN Sunan Ampel Surabaya  - Tasawuf dan Psikoterapi
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Imam Bonjol Padang - Pendidikan Agama Islam,UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Al-Ahwal Al-Syakhsiyyah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam
UIN Sumatera Utara Medan - Al-Ahwal Al-Syakhsiyyah,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam
UIN Sumatera Utara Medan - Ekonomi Islam,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sultan Syarif Kasim Riau  - Ekonomi Syariah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Pendidikan Bahasa Inggris
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Gunung Djati Bandung  - Komunikasi dan Penyiaran Islam
UIN Sumatera Utara Medan - Ekonomi Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Gunung Djati Bandung  - Ekonomi Syari'ah
UIN Sunan Gunung Djati Bandung  - Manajemen Keuangan Syariah,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Maulana Malik Ibrahim Malang  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Arab,UIN Sumatera Utara Medan - Ilmu Hadis
UIN Sumatera Utara Medan - Perbandingan Mazhab,UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Syarif Hidayatullah Jakarta - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Imam Bonjol Padang - Ilmu Perpustakaan dan Informasi Islam,IAIN Malikussaleh Lhokseumawe  - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Imam Bonjol Padang - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam,UIN Sumatera Utara Medan - Sejarah Peradaban Islam
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Imam Bonjol Padang - Bahasa dan Sastra Arab
UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sumatera Utara Medan - Akuntansi Syari'ah
UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab
UIN Sumatera Utara Medan - Ekonomi Islam,UIN Syarif Hidayatullah Jakarta - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Walisongo Semarang  - Ekonomi Syariah / Ekonomi Islam,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sumatera Utara Medan - Ekonomi Islam
UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Ar-Raniry Banda Aceh - Bimbingan dan Konseling Islam
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Sultan Syarif Kasim Riau  - Manajemen Dakwah,UIN Imam Bonjol Padang - Manajemen Bisnis Syariah
UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sumatera Utara Medan - Pengembangan Masyarakat Islam
UIN Sumatera Utara Medan - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sumatera Utara Medan - Manajemen Pendidikan Islam
UIN Syarif Hidayatullah Jakarta - Aqidah dan Filsafat Islam,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sunan Gunung Djati Bandung  - Aqidah dan Filsafat Islam
UIN Sumatera Utara Medan - Pendidikan Islam Anak Usia Dini,UIN Sumatera Utara Medan - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir,UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Maulana Malik Ibrahim Malang  - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah
UIN Syarif Hidayatullah Jakarta - Pendidikan Agama Islam,UIN Sultan Syarif Kasim Riau  - Hukum Ekonomi Syariah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Manajemen Dakwah,UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Imam Bonjol Padang - Manajemen Bisnis Syariah
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sumatera Utara Medan - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Imam Bonjol Padang - Manajemen Bisnis Syariah,UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah
